Date,Open,High,Low,Close,Adj Close,Volume
10-08-2015,639.47998,674.900024,631.249023,657.119995,657.119995,12657900
17-08-2015,656.799988,667,612.330017,612.47998,612.47998,11762400
24-08-2015,573,643.590027,565.049988,630.380005,630.380005,19014200
31-08-2015,627.539978,635.799988,594.099976,600.700012,600.700012,12303000
07-09-2015,612.48999,626.52002,604.119995,625.77002,625.77002,7260400
14-09-2015,625.700012,650.900024,619.429993,629.25,629.25,12481300
21-09-2015,634.400024,636.48999,611,611.969971,611.969971,10236400
28-09-2015,610.340027,627.340027,589.380005,626.909973,626.909973,12403000
05-10-2015,632,650.609009,625.559998,643.609985,643.609985,9893400
12-10-2015,642.090027,664.969971,639.01001,662.200012,662.200012,7995200
19-10-2015,661.179993,730,641.72998,702,702,16491500
26-10-2015,701.549988,719.150024,701.26001,710.809998,710.809998,10506100
02-11-2015,711.059998,739.47998,705.849976,733.76001,733.76001,8531600
09-11-2015,730.200012,741,716.72998,717,717,8956900
16-11-2015,715.599976,757.919983,711.330017,756.599976,756.599976,8640500
23-11-2015,757.450012,762.708008,737.630005,750.26001,750.26001,5708200
30-11-2015,748.809998,775.955017,741.27002,766.809998,766.809998,11810500
07-12-2015,767.77002,768.72998,736.75,738.869995,738.869995,10554600
14-12-2015,741.789978,762.679993,724.169983,739.309998,739.309998,11774100
21-12-2015,746.130005,754.849976,740,748.400024,748.400024,4984200
28-12-2015,752.919983,779.97998,749.52002,758.880005,758.880005,6074500
04-01-2016,743,752,713,714.469971,714.469971,12585100
11-01-2016,716.609985,734.73999,685.369995,694.450012,694.450012,12450700
18-01-2016,703.299988,728.130005,673.26001,725.25,725.25,10137100
25-01-2016,723.580017,744.98999,694.390015,742.950012,742.950012,11388300
01-02-2016,750.460022,789.869995,680.150024,683.570007,683.570007,27932700
08-02-2016,667.849976,701.309998,663.059998,682.400024,682.400024,15659700
15-02-2016,692.97998,712.349976,685.049988,700.909973,700.909973,8485100
22-02-2016,707.450012,713.429993,680.780029,705.070007,705.070007,9808400
29-02-2016,700.320007,720,697.679993,710.890015,710.890015,10191600
07-03-2016,706.900024,726.919983,685.340027,726.820007,726.820007,11287200
14-03-2016,726.809998,743.070007,724.51001,737.599976,737.599976,9905200
21-03-2016,736.5,745.719971,731,735.299988,735.299988,6133200
28-03-2016,736.789978,757.880005,728.76001,749.909973,749.909973,8283000
04-04-2016,750.059998,752.799988,735.369995,739.150024,739.150024,6064200
11-04-2016,743.02002,761,731.01001,759,759,7224800
18-04-2016,760.460022,769.900024,713.609985,718.77002,718.77002,14130900
25-04-2016,716.099976,725.765991,689,693.01001,693.01001,13157400
02-05-2016,697.630005,711.859985,689.01001,711.119995,711.119995,8395400
09-05-2016,712,724.47998,709,710.830017,710.830017,7447200
16-05-2016,709.130005,721.52002,696.799988,709.73999,709.73999,8583700
23-05-2016,706.530029,733.935974,704.179993,732.659973,732.659973,8440700
30-05-2016,731.73999,739.72998,720.559998,722.340027,722.340027,5951200
06-06-2016,724.909973,729.539978,714.609985,719.409973,719.409973,6690500
13-06-2016,716.51001,725.440002,688.452026,691.719971,691.719971,9164400
20-06-2016,698.77002,702.77002,673.450012,675.219971,675.219971,11352800
27-06-2016,671,700.650024,663.283997,699.210022,699.210022,9677800
04-07-2016,696.059998,705.710022,688.215027,705.630005,705.630005,5753900
11-07-2016,708.049988,725.73999,707.23999,719.849976,719.849976,5614100
18-07-2016,722.710022,743.23999,721.190002,742.73999,742.73999,6098800
25-07-2016,740.669983,778.549988,734.27002,768.789978,768.789978,11103300
01-08-2016,761.090027,783.039978,761.090027,782.219971,782.219971,8713900
08-08-2016,782,789.75,778.091003,783.219971,783.219971,4928800
15-08-2016,783.75,787.48999,773.130005,775.419983,775.419983,4471300
22-08-2016,773.27002,776.440002,763.184998,769.539978,769.539978,5045200
29-08-2016,768.73999,774.98999,764.299988,771.460022,771.460022,5224000
05-09-2016,773.450012,782.72998,759.659973,759.659973,759.659973,5492300
